,episode,time_sec,step,action,reward
227,1,1140,228.0,"0,0,3,3,3,1,2,4,3,2,4,4,3,4,0,1,4,0,0,2,2,4,0,3,2",-303.20000000000005
228,1,1145,229.0,"4,1,2,4,1,4,3,3,3,2,1,3,4,3,2,0,3,2,0,2,0,1,3,2,2",-301.8
229,1,1150,230.0,"2,4,0,3,2,1,0,1,0,2,0,2,1,1,0,3,3,1,0,2,0,0,0,1,2",-303.40000000000003
230,1,1155,231.0,"0,4,2,0,2,2,0,1,1,4,1,0,0,4,2,0,3,1,3,2,1,2,2,1,1",-306.4
231,1,1160,232.0,"2,0,3,3,4,1,2,0,0,3,2,3,2,0,3,2,0,3,0,2,0,4,2,4,2",-300.8
232,1,1165,233.0,"0,1,0,3,0,3,4,2,4,2,2,1,3,3,2,2,3,1,0,1,0,2,4,3,4",-335.6
233,1,1170,234.0,"2,2,0,4,2,0,0,3,0,0,3,2,1,0,4,3,3,1,2,2,3,3,2,2,1",-339.0
234,1,1175,235.0,"1,4,4,0,0,0,0,0,0,0,2,0,4,1,4,3,0,1,1,0,2,0,3,1,2",-299.6
235,1,1180,236.0,"2,3,0,0,2,0,3,1,3,2,1,2,2,2,2,0,3,2,0,0,0,0,1,0,4",-274.40000000000003
236,1,1185,237.0,"0,1,1,2,4,2,2,0,0,2,4,0,1,3,0,2,2,2,0,2,3,0,0,3,2",-280.20000000000005
237,1,1190,238.0,"0,4,1,0,2,1,0,4,3,2,0,1,3,0,0,3,2,1,2,0,4,1,0,3,2",-326.20000000000005
238,1,1195,239.0,"1,1,4,0,0,1,2,1,2,4,3,0,4,1,2,3,3,2,4,4,4,3,0,1,1",-336.80000000000007
239,1,1200,240.0,"1,3,0,1,4,1,2,2,3,0,0,3,3,1,0,2,0,4,2,1,4,4,0,2,2",-319.20000000000005
240,1,1205,241.0,"1,4,1,1,0,1,0,3,0,0,0,1,1,3,0,0,0,4,1,2,4,4,1,0,0",-294.8
241,1,1210,242.0,"2,0,0,3,2,2,2,0,4,0,1,0,1,4,0,3,0,0,2,1,1,0,2,0,2",-275.20000000000005
242,1,1215,243.0,"2,0,1,2,4,4,2,1,2,3,0,0,0,0,3,1,2,4,4,0,3,0,3,1,4",-311.00000000000006
243,1,1220,244.0,"3,1,2,2,2,2,1,2,2,3,0,4,2,0,0,2,2,4,2,3,0,1,0,0,2",-314.6
244,1,1225,245.0,"0,4,1,0,0,3,3,0,2,4,2,3,3,0,4,1,0,3,1,4,0,3,2,3,2",-341.40000000000003
245,1,1230,246.0,"4,2,4,0,2,4,0,2,3,4,2,1,1,0,2,1,0,4,3,0,3,2,1,0,2",-372.20000000000005
246,1,1235,247.0,"0,0,0,4,2,0,1,1,1,4,0,2,0,0,0,3,1,3,0,0,1,0,1,4,2",-323.8
247,1,1240,248.0,"4,4,1,2,2,1,3,2,0,0,2,1,2,0,1,1,0,4,0,2,4,1,2,0,0",-326.4
248,1,1245,249.0,"4,4,0,1,2,4,2,1,0,0,1,2,2,3,3,1,4,0,2,0,1,0,0,2,0",-323.79999999999995
249,1,1250,250.0,"1,4,3,2,4,0,1,3,3,0,0,0,2,0,1,2,3,4,3,2,2,0,2,2,0",-332.00000000000006
